Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2018-11-03,Veritas Finance Ltd.,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018-11
2018-11-06,Meesho,Ecommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018-11
2018-11-08,Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,500000.0,2018-11
2018-11-08,A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,1000000.0,2018-11
2018-11-12,Blackbuck,Food Tech,"New York, Bengaluru",Tiger Global,Series A,1000000.0,2018-11
2018-11-12,MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,1300000.0,2018-11
2018-11-13,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,2018-11
2018-11-14,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0,2018-11
2018-11-19,Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,300000000.0,2018-11
2018-11-20,HealthifyMe,Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,2018-11
2018-11-21,Genius Corner,Education,Noida,Individual investors,Seed Funding,278000.0,2018-11
2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,2018-11
2018-11-22,Skillbox,Social Network,Gurugram,Individual investors,Seed Funding,0.0,2018-11
2018-11-23,Signzy,Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018-11
2018-11-24,Engineer.ai,Software,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,2018-11
2018-11-25,InCred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018-11
2018-11-25,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018-11
2018-10-01,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,2018-10
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,2018-10
2018-10-04,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018-10
2018-10-05,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018-10
2018-10-11,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,4000000.0,2018-10
2018-10-12,Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,2018-10
2018-10-12,LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series C,12000000.0,2018-10
2018-09-01,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018-09
2018-09-03,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018-09
2018-09-03,Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000.0,2018-09
2018-09-04,3HCare,Healthcare,Delhi,,Seed / Angel Funding,1000000.0,2018-09
2018-09-04,HappyGoEasy,Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,2018-09
2018-09-05,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.0,2018-09
2018-09-05,Mad Street Den,Technology,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,2018-09
