Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2019-12-04,Azah,Healthcare & Hospitality,Gurgaon,Unnamed angel investors,Seed,200000.0,2019-12
2019-11-04,Setu,Finance,Bangalore,Lightspeed India Partners,Seed,3500000.0,2019-11
2019-10-04,Toppr,Education,Mumbai,Milestone ,Debt,6320820.0,2019-10
2019-10-04,Craftsvilla,E-Commerce,Mumbai,Supera Pte Ltd,Debt,2443495.0,2019-10
2019-10-04,Unacademy,Education,Bangalore,Kalyan Krishnamurthy,Seed,307000.0,2019-10
2019-11-04,CleverTap,Software,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019-11
2019-08-02,Zilingo,E-Commerce,Outside India,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019-08
2019-04-01,Vyome Therapeutics Inc. ,Healthcare & Hospitality,Outside India,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019-04
2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt,5000000.0,2019-04
2018-04-12,Manch,Gaming & Entertainment,Delhi, Stellaris Venture Partners ,Seed,700000.0,2018-04
2018-02-12, Guiddoo ,Logistics,Mumbai,Individual Investors,Seed,800000.0,2018-02
2018-02-12,Career Anna ,Education,Gurgaon,Individual Investors,Seed,572000.0,2018-02
2018-04-12,Nagpur Wholesale,E-Commerce,Nagpur,Omphalos Ventures India LLP,Seed,143000.0,2018-04
2018-06-12,ShopKirana,Logistics,Indore," Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,2000000.0,2018-06
2018-06-12,BuildSupply,E-Commerce,Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018-06
2018-03-11,Veritas Finance Ltd.,Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK’s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018-03
2018-06-11,Meesho,E-Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018-06
2018-08-11,Mobile Premier League,Gaming & Entertainment,Bangalore,Undisclosed,Series A,500000.0,2018-08
2018-08-11,A&R Bon Vivants,Consumables,Jaipur,"RB Investments, Singapore",Other,1000000.0,2018-08
2018-12-11,Blackbuck,Consumables,Bangalore,Tiger Global,Series A,1000000.0,2018-12
2018-12-11,MilkBAsket,Consumables,Delhi,Mayfield Fund,Series B,1300000.0,2018-12
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0,2018-02
2018-04-10,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Other,8200000.0,2018-04
2018-05-10,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018-05
2018-11-10,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0,2018-11
2018-12-10,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Other,14680000.0,2018-12
2018-12-10,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0,2018-12
2018-01-09,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Other,35000000.0,2018-01
2018-03-09,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Other,225000000.0,2018-03
